rank,Driver,Team,median_predicted_s,mean_predicted_s,lap_count,std_predicted_s
1,VER,Red Bull,91.649284,92.17327,45,0.78182
2,LEC,Ferrari,91.82803,92.19631,44,0.76543516
3,NOR,McLaren,92.02391,92.15432,50,1.0761847
4,PER,Red Bull,92.35704,92.437965,45,0.93365455
5,RUS,Mercedes,92.472565,93.06739,45,0.89860886
6,HAM,Mercedes,92.59978,92.790184,46,1.208379
7,SAI,Ferrari,92.63707,92.320206,47,0.8511421
8,PIA,McLaren,92.82004,92.490456,47,0.78350437
9,OCO,Alpine,93.075134,93.25222,46,0.8630692
10,HUL,Haas,93.10598,93.17999,45,0.7976353
11,BOT,Sauber,93.24382,93.46065,46,0.6994707
12,ALO,Aston Martin,93.27144,93.28871,45,0.98157156
13,MAG,Haas,93.27524,93.33689,43,1.1305223
14,GAS,Alpine,93.36154,93.34258,47,0.7008454
15,STR,Aston Martin,93.394936,93.29125,47,0.69920206
16,TSU,RB,93.42595,93.05097,47,1.0699053
17,RIC,RB,93.43387,93.81787,46,1.0524784
18,ZHO,Sauber,93.59857,93.56965,47,0.714883
19,ALB,Williams,93.66321,93.47312,45,0.84421843
20,SAR,Williams,93.97734,94.05137,20,0.36588383
